y;x1;x2;x3
4,232675;4,690751;1,569661;2,463836
4,507256;7,409815;2,120747;4,497566
4,508519;7,413023;2,128317;4,529735
4,509783;7,427994;2,13569;4,56117
4,510364;7,459362;2,142865;4,591869
4,510945;7,475685;2,149846;4,62184
4,495585;7,078544;2,251462;5,069083
4,498031;7,206971;2,255335;5,086537
4,500474;7,236498;2,259092;5,103496
4,502913;7,358633;2,262733;5,119963
4,505349;7,507169;2,266265;5,135959
4,503853;7,332127;1,910252;3,649062
4,506418;7,327958;1,922783;3,697096
4,508979;7,278532;1,935049;3,744413
4,511536;7,507833;1,947048;3,790996
4,514088;7,509642;1,958785;3,836841
4,348417;5,209574;1,575532;2,4823
4,350171;5,210791;1,582126;2,503124
4,351917;5,141927;1,588772;2,524196
4,353652;5,27836;1,598165;2,55413
4,355378;5,353653;1,616455;2,612928
4,329377;4,832035;1,824081;3,327273
4,332343;4,901341;1,838218;3,379047
4,335304;4,927029;1,852081;3,430205
4,338265;5,135363;1,865674;3,48074
4,341224;5,184191;1,878996;3,530627
4,529099;7,338908;2,211172;4,889283
4,531269;7,371797;2,216255;4,911784
4,533325;7,424815;2,221188;4,933678
4,535375;7,457586;2,225978;4,954979
4,537397;7,469152;2,230627;4,975697
4,392697;4,800885;1,932477;3,734469
4,384065;4,822521;1,945592;3,785326
4,377686;4,863357;1,958391;3,835293
4,373826;4,847614;1,952701;3,813042
4,370005;4,850646;1,947035;3,790946
4,193521;3,983804;1,386954;1,923642
4,18665;3,982681;1,411887;1,993424
4,179782;4,022972;1,436859;2,064564
4,172914;4,060286;1,456625;2,121755
4,166043;4,055928;1,476133;2,178968
4,435819;6,431181;2,348915;5,517402
4,439777;6,454906;2,355585;5,548783
4,443737;6,528468;2,362315;5,580533
4,447697;6,696805;2,363765;5,587384
4,451658;6,755832;2,365165;5,594008
4,401717;6,07888;1,850082;3,422803
4,403622;6,070581;1,884138;3,549976
4,405526;6,065523;1,918263;3,679733
4,407425;6,082792;1,930688;3,727555
4,409323;6,415594;1,942843;3,774637
4,313341;4,506252;1,872356;3,505717
4,316813;4,753409;1,882451;3,543623
4,320279;4,928398;1,891955;3,579492
4,323734;4,945762;1,902812;3,620693
4,327181;6,329944;1,912477;3,65757
4,335744;4,248335;1,814698;3,293128
4,338593;4,320169;1,823762;3,326107
4,34143;4,360399;1,832836;3,359287
4,344256;4,387244;1,846909;3,411072
4,347073;4,340267;1,860704;3,462219
4,041155;4,610953;1,311805;1,720833
4,038338;4,671389;1,323496;1,751641
4,035516;4,651958;1,335191;1,782734
4,032685;4,73547;1,356884;1,841133
4,029847;4,610953;1,378318;1,899759
4,383202;5,226521;2,084592;4,345524
4,381872;5,389629;2,093787;4,383944
4,382445;5,356949;2,102727;4,421461
4,386322;5,39979;2,111415;4,458073
4,394987;5,45939;2,119857;4,493796
4,511903;7,385256;2,157167;4,653371
4,51451;7,381016;2,181703;4,759826
4,517114;7,435509;2,206237;4,867482
4,519714;7,466182;2,230772;4,976345
4,521769;7,599622;2,255308;5,086414
4,343539;5,10302;2,171315;4,714609
4,341783;5,334948;2,178003;4,743698
4,341764;5,468347;2,184489;4,771994
4,345089;5,598703;2,192175;4,805632
4,354503;5,506932;2,190185;4,796912
4,303445;5,016114;0,764588;0,584595
4,309284;5,097033;0,792726;0,628414
4,315111;5,030065;0,812329;0,659879
4,320928;5,127446;0,825394;0,681275
4,326732;5,070927;0,836507;0,699744
4,339688;4,805364;2,05219;4,211483
4,335785;4,877835;2,06227;4,252957
4,332398;4,849762;2,072077;4,293503
4,330346;4,938201;2,081618;4,333133
4,332553;4,893262;2,090896;4,371845
4,174469;5,091447;1,46413;2,143677
4,18627;5,235047;1,494377;2,233163
4,197779;5,424505;1,524161;2,323067
4,208997;5,498299;1,63927;2,687208
4,219922;5,509044;1,732386;3,001162
4,386581;6,079043;1,974035;3,896815
4,389275;6,104123;1,996854;3,987428
4,391961;5,989127;2,019718;4,079261
4,394638;5,9509;2,0297;4,119681
4,397306;6,03762;2,039447;4,159345
3,952712;2,924988;-0,063206;0,003995
3,958477;3,226419;-0,04334;0,001878
3,964209;3,232353;-0,02337;0,000546
3,969913;3,269991;0,006628;4,40E-05
3,975582;3,517459;0,036515;0,001333
4,46552;6,564801;1,671148;2,792736
4,468515;6,574691;1,695805;2,875753
4,470594;6,575673;1,72192;2,965008
4,472668;6,621226;1,751547;3,067916
4,474739;6,629139;1,778681;3,163706
3,927262;3,621673;0,991176;0,982429
3,941487;4,078476;1,016386;1,03304
3,955257;4,149558;1,041379;1,084469
3,968575;4,13473;1,066151;1,136678
3,981443;4,373429;1,090704;1,189636
3,902429;3,484693;-0,024536;0,000602
3,908049;3,726601;-0,004776;2,30E-05
3,913638;3,742882;0,015056;0,000227
3,919195;3,821724;0,04526;0,002048
3,92472;3,904962;0,075358;0,005679
4,017105;4,202831;0,945916;0,894756
4,024703;4,220143;0,972138;0,945052
4,032235;4,162777;0,995642;0,991302
4,039702;4,310314;1,012012;1,024168
4,047104;4,291626;1,027252;1,055247
4,321694;5,575487;1,766454;3,120358
4,324546;5,600904;1,78227;3,176485
4,32738;5,611415;1,798116;3,233221
4,330196;5,807863;1,812625;3,28561
4,332997;5,662474;1,826866;3,337439
3,977249;3,806367;1,048844;1,100074
3,973733;3,847674;1,062557;1,129027
3,970205;3,668371;1,076309;1,15844
3,966666;3,801989;1,100221;1,210486
3,963117;3,898271;1,123903;1,263158
